# energy/meV  VibDOS 
4.51549e+02   6.12352e-03
4.53049e+02   5.72111e-03
4.54549e+02   5.35883e-03
4.56049e+02   5.03192e-03
4.57549e+02   4.73625e-03
4.59049e+02   4.46824e-03
4.60549e+02   4.22479e-03
4.62049e+02   4.00318e-03
4.63549e+02   3.80106e-03
4.65049e+02   3.61638e-03
4.66549e+02   3.44733e-03
4.68049e+02   3.29235e-03
4.69549e+02   3.15005e-03
4.71049e+02   3.01923e-03
4.72549e+02   2.89881e-03
4.74049e+02   2.78785e-03
4.75549e+02   2.68553e-03
4.77049e+02   2.59110e-03
4.78549e+02   2.50391e-03
4.80049e+02   2.42339e-03
4.81549e+02   2.34901e-03
4.83049e+02   2.28033e-03
4.84549e+02   2.21693e-03
4.86049e+02   2.15846e-03
4.87549e+02   2.10458e-03
4.89049e+02   2.05503e-03
4.90549e+02   2.00954e-03
4.92049e+02   1.96790e-03
4.93549e+02   1.92990e-03
4.95049e+02   1.89538e-03
4.96549e+02   1.86419e-03
4.98049e+02   1.83619e-03
4.99549e+02   1.81129e-03
5.01049e+02   1.78939e-03
5.02549e+02   1.77042e-03
5.04049e+02   1.75433e-03
5.05549e+02   1.74107e-03
5.07049e+02   1.73063e-03
5.08549e+02   1.72300e-03
5.10049e+02   1.71820e-03
5.11549e+02   1.71625e-03
5.13049e+02   1.71719e-03
5.14549e+02   1.72109e-03
5.16049e+02   1.72804e-03
5.17549e+02   1.73813e-03
5.19049e+02   1.75150e-03
5.20549e+02   1.76828e-03
5.22049e+02   1.78866e-03
5.23549e+02   1.81285e-03
5.25049e+02   1.84106e-03
5.26549e+02   1.87359e-03
5.28049e+02   1.91073e-03
5.29549e+02   1.95285e-03
5.31049e+02   2.00036e-03
5.32549e+02   2.05371e-03
5.34049e+02   2.11344e-03
5.35549e+02   2.18016e-03
5.37049e+02   2.25457e-03
5.38549e+02   2.33745e-03
5.40049e+02   2.42972e-03
5.41549e+02   2.53242e-03
5.43049e+02   2.64675e-03
5.44549e+02   2.77409e-03
5.46049e+02   2.91603e-03
5.47549e+02   3.07440e-03
5.49049e+02   3.25130e-03
5.50549e+02   3.44917e-03
5.52049e+02   3.67082e-03
5.53549e+02   3.91949e-03
5.55049e+02   4.19888e-03
5.56549e+02   4.51326e-03
5.58049e+02   4.86745e-03
5.59549e+02   5.26689e-03
5.61049e+02   5.71761e-03
5.62549e+02   6.22612e-03
5.64049e+02   6.79920e-03
5.65549e+02   7.44347e-03
5.67049e+02   8.16471e-03
5.68549e+02   8.96665e-03
5.70049e+02   9.84929e-03
5.71549e+02   1.08065e-02
5.73049e+02   1.18229e-02
5.74549e+02   1.28708e-02
5.76049e+02   1.39071e-02
5.77549e+02   1.48732e-02
5.79049e+02   1.56982e-02
5.80549e+02   1.63079e-02
5.82049e+02   1.66390e-02
5.83549e+02   1.66536e-02
5.85049e+02   1.63491e-02
5.86549e+02   1.57595e-02
5.88049e+02   1.49457e-02
5.89549e+02   1.39813e-02
5.91049e+02   1.29380e-02
5.92549e+02   1.18766e-02
5.94049e+02   1.08419e-02
5.95549e+02   9.86362e-03
5.97049e+02   8.95844e-03
5.98549e+02   8.13348e-03
6.00049e+02   7.38936e-03
6.01549e+02   6.72270e-03
6.03049e+02   6.12790e-03
6.04549e+02   5.59840e-03
6.06049e+02   5.12738e-03
6.07549e+02   4.70826e-03
6.09049e+02   4.33495e-03
6.10549e+02   4.00192e-03
6.12049e+02   3.70424e-03
6.13549e+02   3.43758e-03
6.15049e+02   3.19813e-03
6.16549e+02   2.98260e-03
6.18049e+02   2.78809e-03
6.19549e+02   2.61212e-03
6.21049e+02   2.45252e-03
6.22549e+02   2.30740e-03
6.24049e+02   2.17514e-03
6.25549e+02   2.05430e-03
6.27049e+02   1.94365e-03
6.28549e+02   1.84210e-03
6.30049e+02   1.74869e-03
6.31549e+02   1.66260e-03
6.33049e+02   1.58308e-03
6.34549e+02   1.50950e-03
6.36049e+02   1.44128e-03
6.37549e+02   1.37792e-03
6.39049e+02   1.31896e-03
6.40549e+02   1.26401e-03
6.42049e+02   1.21271e-03
6.43549e+02   1.16474e-03
6.45049e+02   1.11982e-03
6.46549e+02   1.07769e-03
6.48049e+02   1.03813e-03
